firstpost_date,content
20-03-2015,"$TWTR with a big island reversal, gap and Bollinger Band squeeze http://t.co/CDM3sZj2Pn"
09-03-2015,Why Twitter Stock Could Double - Twitter down 15% in last year but up 28% in the last three. http://t.co/WlP3Y7DCeK  $TWTR via CML
09-03-2015,"RT @Benzinga: Why Twitter Is Worth $67 Per Share, According To JP Morgan $FB $TWTR http://t.co/RTlUtEdgdT // noted LOL"
03-03-2015,It's ok to 'talk your book' as long as you KNOW your book.  Yes - things go wrong but the social web rewards book talking with results $TWTR
20-03-2015,"Ashley Judd Fights Twitter Hatred with Personal Essay, Tells Bullies to… http://t.co/pQFKSvYgGp #Twitter • $TWTR http://t.co/1Jse9Aq6ii"
19-03-2015,$TWTR cup and handle anyone? above 48 could start to get interesting http://t.co/jlhck0LN0P
20-03-2015,$TWTR Holding !!! $50 coming soon...
02-03-2015,"Twitter just told us what it plans for its massive, often-overlooked data… http://t.co/o2o9evbcbT #Twitter • $TWTR http://t.co/w7gaAZgAiu"
04-03-2015,"Is Chris Brown Father Story A Hoax? Baby Rumor Is False, Twitter Users… http://t.co/reRBhfWPng #Twitter • $TWTR http://t.co/nX0R2t75oW"
10-03-2015,Special deal for my valued $TWTR peeps enjoy http://t.co/SqXgbdtICm &amp; http://t.co/SKdarBuL7k my bestselling book FOR FREE go $STUDY
05-03-2015,Facebook reportedly working on new mobile ad platform; Twitter falls http://t.co/LLrD9sTnFW $FB $TWTR $MM
02-03-2015,What A Great Honor http://t.co/LAh12BRiCO &amp; it stems from trades like these http://t.co/GWKcbrWoOy are you prepared $TWTR peeps?
19-03-2015,$TWTR and $EYES in breakout mode!!! Buy on dips!!
16-03-2015,"Just answered 1,000 $FB  &amp; $TWTR messages, now only 4 months behind, sorry guys, see why the demand for http://t.co/EcfUM6l2S3 is SO great!"
16-03-2015,Happy http://t.co/fljCJMRjtQ subscriber 10:44AM hamzeh2518:thank you Tim just mad $700.00 on $MVIS TOTALLY SELF-SUFFICIENT NOW $TWTR $STUDY
09-03-2015,I'm ashamed of the way I am on Twitter - Washington Post http://t.co/W2N9BTouYW #Twitter • $TWTR http://t.co/DhVZBHM5AP
03-03-2015,Twitter Escalates Its Own ISIS Battle: 2000 Accounts Suspended Last Week -… http://t.co/n0EToSSKKB #Twitter • $TWTR http://t.co/KZEt1fSoBV
04-03-2015,"Someone should do a $TWTR $BABA..UHH...what's it called, fractal chart...overlay the 2 of them..hyped, popped, then downtrend"
19-03-2015,$TWTR been strong all day... setting up well for tomorrow.
13-03-2015,Check Out The Best Email I Ever Received http://t.co/NyRvzLqkhH get inspired $FB $TWTR $LNKD peeps!
19-03-2015,$TWTR very nice reversal.... GO BLUE
14-03-2015,Great move  @twitter buying @periscopeco. Big picture implications of live streaming from news to entertainment will be felt all over. $TWTR
11-03-2015,http://t.co/UVQ3LJY1F8 Trade by these rules http://t.co/ZB6EtRjpli or lose big $FB $TWTR $LNKD peeps
02-03-2015,"#Android dominates #iOS with 81.5% of global smartphone OS market $AAPL, $GOOG, $FB, $TWTR http://t.co/hJSm9P7yNf http://t.co/H6d28Cw1rH"
10-03-2015,We're talking about it on today's #MarketFoolery RT @JDR1024 @jimcramer No one is talking abt it but $TWTR just opened an office in HK today
06-03-2015,"""@lindersrun: . @traderstewie ... to perfection http://t.co/uU7I1skYBn"" &lt;&lt;~~ awesome find and call ! 11AM wedge(rising) in $TWTR"
11-03-2015,Twitter: Why It's Still A Short http://t.co/I2Kfpi7fGL $FB $TWTR
02-03-2015,"I gave it everything I had here http://t.co/60GSxlxdPt everything I've learned over the years, watch it repeatedly $FB $TWTR $LNKD"
08-03-2015,Twitter Goes Live http://t.co/UBK8PAEv5y $TWTR
